en	hu	la	pl	ja	zh	num	s	l	def	%comment
institution	inte1zme1ny	institutio	instytucja	kikan 機関	ji1gou4 机构	3372	e	N	organize at, work at, has purpose, system, society/2285 has, has long(past), building, people in, conform norm	%
instrument	eszko2z	instrumentum	narze1dzie	kigu 器具	gong1ju4 工具	701	u	N	object, work ins_, gen use, has purpose, at hand	%
intense	nagyfoku1	vehemens	intensywny	hageshii 激しい	qiang2lie4 强烈	3369	e	A	er_ gen, extreme	%
interrupt	megszaki1t	interrumpo	przeszkadzac1	chúdan-suru 中断する	da3duan4 打断	1645	u	V	=agt cause_[pause in =pat]	%
iron	vas	ferrum	z1elazo	tetsu 鉄	tie3 铁	2589	e	N	hard(metal)	%
is_a	van	sum	byc1	aru ある	shi4 是	2585	p	V		%copula_
item	te1tel	item	pozycja	kómoku 項目	xiang4mu4 项目	3343	c	N	one, in list, in group, in set/2746	%single
ivory	elefa1ntcsont	ebur	kos1c1_sl1oniowa	zóge 象牙	xiang4ya2 象牙	3606	u	N	bone, elephant has	%
jaw	a1lkapocs	maxilla	szcze1ka	ago あご	xia4ge2 下颌	72	e	N	organ, animal has, at mouth, tooth at, part_of face	%
join	csatlakozik	comitor	dol1a1czyc1	sanka-suru 参加する	jia1ru4 加入	392	e	V	after(together)	%  %implies before(separate)
joint	izu2let	articulus	staw	kansetsu 関節	guan1jie2 关节	1169	u	N	part, join at	%
joy	o2ro2m	gaudium	rados1c1	yorokobi 喜び	huan1le4 欢乐	1856	u	N	sensation, good	%
judge	bi1ro1	iudex	se1dzia	saibankan 裁判官	fa3guan1 法官	289	c	N	human, part_of court/3124, decide,m ake official(opinion)	%
kind	kedves	benignus	mil1y	suki-na 好きな	hao3xin1 好心	1274	u	A	like/3382, help	%
king	kira1ly	rex	kro1l	ója 王者	guo2wang2 国王	1350	u	N	monarch, man/744, lead/2617 country, part_of royal(family)	%
knife	ke1s	culter	no1z1	naifu ナイフ	dao1 刀	1256	e	N	instrument, for_ cut, has blade<metal>, has handle	%
know	tud	scio	wiedziec1	shiru 知る	zhi1dao4 知道	2455	u	V		%
lack	hia1nyzik	desum	brak	kaku  欠く	que1shao3 缺少	3306	p	V		%
land	fo2ld	ager	ziemia	tochi 土地	tu3di4 土地	816	u	N	solid, ground, area/2366	%
large	nagy	grandis	duz1y	ókii 大きい	da4 大	1745	e	A	big	%
law	jog	ius	prawo	hóritsu 法律	fa3lü4 法律	1200	u	N	rule, system, society/2285 has, official/1065, norm	%
lead	o1lom	plumbum	ol1o1w	namari 鉛	qian1 铅	1832	e	N	metal, soft 	%
lead	vezet	duco	prowadzic1	michibiku 導く	dai4ling3 带领	2617	e	V	=agt cause_ {=pat[change]}	%naive_theo: x lead/2617 y, y lead/2617 z implies x lead/2617 z
leaf	faleve1l	folium	lis1c1	ha 葉	ye4 叶	723	c	N	organ, green, flat, at stem, part_of plant	%
leg	la1b	pes	noga	ashi 脚	tui3 腿	1467	c	N	limb, animal has, move ins_, support, low	%
legal	jogi	iuris	prawo	hóteki 法的	fa3lü4 de 法律的	2806	e	A	law	%
lens	lencse	lenticula	soczewica	renzu レンズ	jing4tou2 镜头	3344	e	N	shape, part_of camera, light/739 through, for_ clear(image), <glass>[curve], image has different(size), <look ins_>	%
letter	leve1l	litterae	list	tegami 手紙	xin4 信	1539	e	N	message, gen write	%
letter	betu3	littera	litera	moji 文字	zi4mu3 字母	278	e	N	symbol, small, mark_ sound, gen write	%
level	szint	tabulatum	poziom	suijun 水準	shui3ping2 水平	2781	e	N	position, at scale	%
lid	fede1l	operculum	pokrywka	lid ふた	gai4zi 盖子	751	u	N	cover, hollow has	%
life	e1let	vita	z1ycie	inochi 命	sheng1huo2 生活	505	u	N	live	%
light	ko2nnyu3	levis	lekki	karui 軽い	qing1 轻	1381	e	A	weight(gen er_)	%
light	fe1ny	lux	s1wiatl1o	hikari 光り	guang1 光	739	c	N	material, wave, cause_[animal see thing], beam/2722	%
light	gyu1jt	accendo	zapalac1	hi o tsukeru 火をつける	dian3ran2 点燃	944	e	V	after(=pat burn)	%
like	kedvel	amo	lubic1	konomu 好む	xi3huan 喜欢	3382	e	V	feel {=pat[good], good for_ =agt}	%
limb	ve1gtag	membrum	kon1czyna	teashi 手足	zhi1 肢	3345	e	N	part_of body, leg is_a, arm is_a	%
limit	hata1r	terminus	ograniczenie1	seigen 制限	xian4zhi4 限制	1012	e	N	lack further	%
line	sor	versus	rza1d	gyó 行	hang2lie4 行列	2118	u	N	shape, long, has position, has direction, <straight/563>	%mark, next to each other
liquid	folye1kony	fluidus	pl1ynny	ekitai 液体	ye4ti3 液体	846	u	A	substance, flow, has shape[change]	%
list	lista	tabulae	lista	ichiranhyó 一覧表	lie4biao3 列表	1544	e	N	series, item member, written	%
little	kis	parvus	mal1y	chiisai 小さい	xiao3 小	1355	e	A	small	%
live	e1l	vivo	z1yc1	ikiru 生きる	sheng1huo2 生活	504	u	U	exist, breathe, grow, reproduce, eat, act, change	%
long	hosszu1	longus	dl1ugi	nagai 長い	chang2 长	1086	c	A	gen er_ size[horizontal], has axis	%
lose	elveszi1t	amitto	gubic1	nakusu 無くす	diu1 丢	656	e	V	after(lack)	%
loud	hangos	clarud	gl1os1ny	urusai うるさい	xiang3liang4 响亮	995	e	A	sound/993, intense	%
love	szeret	amo	kochac1	ai-suru 愛する	ai4 爱	2200	u	V	emotion, good, =pat[person], care/82	%
low	alacsony	demissus	niski	hikui 低い	di3 低	139	u	A	height(gen er_)	%
lung	tu2do3	pulmo	pl1uco	hai肺	fei4 肺	2441	u	N	organ, breathe ins_	%
machine	ge1p	machina	maszyna	kikai 機械	ji1qi4 机器	894	u	N	object, work	%
main	fo3	primus	gl1o1wny	omona 主な	zhu3yao4 主要	818	e	A	er_ other, rank, lead/2617	%
make	csina1l	facio	robic1	suru する	zuo4 做	409	u	V	=agt cause_ {=pat[exist]}	%RA%
male	hi1m	mas	samiec	osu 雄	nan2 男	1039	e	N	sex	%
mammal	emlo3s	mammalia	ssak	honyúrui 哺乳類	bu3ru3_dong4wu4 哺乳动物	2729	c	N	animal, has fur, has milk	%ND
man	ember	homo	czl1owiek	hito 人	ren2 人	659	e	N	animal, has two(leg), has two(hand), think, can/1246(speak), can/1246(work), has society/2285	%opposed to animal, divine person, or machine
man	fe1rfi	vir	me1z1czyzna	otoko 男	nan2 男	744	e	N	person, male	%
many	sok	multus	wiele	takusan たくさん	duo1 多	2113	u	A	quantity, er_ gen	%
mark	jel	nota	znak	shirushi 印	biao1ji4 标记	1182	u	N	sign, visible	%
mark_	jelo2l	nota	znak	shirusu 標す	biao1zhi4 标志	3331	u	V	=agt[sign], =pat[meaning], represent	%
marriage	ha1zassa1g	nuptiae	wesele	kekkon 結婚	hun1yin1 婚姻	1487	c	N	legal(union), husband part_of, wife part_of	%
mass	to2meg	massa	masa	shitsuryó 質量	zhi4liang4 质量	2410	e	N	amount, object has	%
material	anyag	materialis	material1	genryó 原料	cai2liao4 材料	2798	u	N	object, real, <build> use	%
mean	jelent	sibi_vult	znaczyc1	imi-suru 意味する	yi4wei4zhe 意味着	1186	e	V	=agt represent =pat, =agt[sign]	%
meaning	e1rtelem	significatio	znaczenie	imi 意味	yi4si 意思	528	e	N	information in mind, sign represent	%
measure	me1rte1k	mensura	miara	teido 程度	ce4du4 测度	1608	e	N	cause_[person know quantity]	%
meat	hu1s	caro	mie1so	niku 肉	rou4 肉	1094	u	N	flesh, food, animal<mammal> has	%
member	tag	membrum/socius	czl1onek	in 員	cheng2yuan2 成员	2293	u	N	group has, in group	%
memory	emle1kezet	memoria	pamie1c1	kioku 記憶	ji4yi4 记忆	666	u	N	information, human has, connect past	%
mental	szellemi	spiritualis	mentalny	seishinteki 精神的	jing1shen2 de 精神的	3039	u	A	in mind	%
message	u2zen	nuntio	wiadomos1c1	dengon 伝言	xin4xi1 信息	2508	u	V	information, <written>	%
metal	fe1m	metallum	metal	kinzoku 金属	jin1shu3 金属	738	u	N	material, solid, shine, conduct electricity	%
middle	ko2ze1p	media_pars	s1rodek	mannaka 真ん中	zhong1jian1 中间	1410	u	N	part, place/1026, near centre	%
milk	tej	lac	mleko	gyúnyú 牛乳	nai3 奶	2337	c	N	liquid, white, cow make, fat/3337 in	%
mind	tudat	conscientia	umysl1	seishin 精神	tou2nao3 头脑	2457	c	N	human has, in brain, human has brain, think ins_, perceive ins_, emotion ins_, will ins_, memory ins_, imagination ins_	%
mineral	a1sva1ny	metallum	mineral1	kóbutsu 鉱物	kuang4wu4 矿物	97	u	N	substance, solid, natural, in Earth	%
minute	perc	minutum	minuta	fun 分	fen1 分	1956	e	N	time, unit, has second/1570, hour has	%
monarch	uralkodo1	rex	monarcha	kunshu 君主	jun1zhu3 君主	3370	c	N	king is_a, queen is_a, lead/2617 country	%
money	pe1nz	pecunia	pienia1dze	okane お金	qian2 钱	1952	u	N	artefact, for_ exchange, has value, official/1065	%
month	ho1nap	mensis	miesia1c	tsuki 月	yue4 月	1068	e	N	unit, time, <twelve>, part_of year	%
more	to2bb	plus	wie1cej	motto もっと	geng4duo1 更多	2404	u	A	quantity, er_ gen	%
most	legto2bb	plurimus	najwie1cej	mottomo 最も	zui4duo1 最多	1518	e	A	all er_	%
motion	mozga1s	motus	ruch	ugoki 動き	dong4zuo4 动作	1729	e	N	move	%
mountain	hegy	mons	go1ra	yama 山	shan1 山	1024	c	N	object, on Earth, natural, high, has <steep/1673>(side), high(er_ hill)	%
mouth	sza1j	os	usta	kuchi 口	kou3 口	2137	c	N	organ, on face, food in, speak ins_, can/1246(open/1814)	%
move	mozog	moveor	ruszac1_sie1	ugoku 動く	dong4 动	1731	u	U	before(=agt at place/1026), after(=agt at other(place/1026))	%
much	sok	multus	wiele	ói 多い	duo1 多	2114	e	A	many	%
mud	sa1r	lutum	bl1oto	doro 泥	ni2 泥	2056	u	N	wet, soil, soft, sticky, water in	%
muscle	izom	musculus	mie1sien1	kinniku 筋肉	ji1rou4 肌肉	1168	e	N	material, animal has, move	%
must	kell	debet	musiec1	beki べき	bi4xu1 必须	1286	u	G	lack choose	%hungarian and english cases differ
natural	terme1szetes	naturalis	naturalny	tennen 天然	zi4ran2 自然	2972	e	A	normal	%
near	ko2zeli	propinquus	bliski	chikai 近い	jin4 近	1414	u	A	distance, gen er_ distance	%
neck	nyak	cervices	szyja	kubi 首	bo2zi 脖子	1803	u	N	part_of body, cause_[head at]	%
need	szu2kse1g	necessitas	potrzeba	hitsuyósei 必要性	xu1yao4 需要	2259	e	N		%
needle	tu3	acus	igl1a	hari 針	zhen1 针	2448	e	N	artefact, long, thin/2598, steel, pierce, has hole, <sew ins_>	%
nervous	ideges	trepidus	zdenerwowany	kinchósuru 緊張する	jin3zhang1 紧张	2721	u	A	feel fright	%
nice	kedves	dulcis	mil1y	yoi 良い	you3shan4 友善	1275	e	A	cause_ joy	%
night	e1j	nox	noc	yoru 夜	ye4 夜	500	u	N	period, follow sunset, sunrise follow, dark, lack sun, <sleep at>	%
noise	zaj	fremitus	hal1as	sóon 騒音	zao4yin1 噪音	2671	u	N	sound/993, <bad>, loud, frighten gen	%
norm	szaba1ly	regula	norma	kijun 基準	gui1fan4 规范	3361	u	N	good for_ society	%
normal	rendes	naturalis	normalny	futsú 普通	zheng4chang2 正常	2799	u	A	resemble other	%
nose	orr	nasus	nos	hana 鼻	bi2zi 鼻子	1912	e	N	organ, part_of face, animal has face, front, at centre, smell, air[move] in	%
notice	e1szrevesz	animadverto	zauwaz1ac1	kizuku 気づく	zhu1yi4dao4 注意到	540	e	V	know, see	%
now	most	nunc	teraz	ima 今	xian4zai4 现在	1726	c	A	time, this	%
number	sza1m	numerus	numer	bangó 番号	hao4 号	2138	u	N	quantity	%
object	ta1rgy	corpus	przedmiot	mono 物	shi4wu4 事物	2705	c	N	thing, <has colour>, has shape, has weight, <has surface>, has position, <lack life>	%has orientation
ocean	o1cea1n	oceanus	ocean	kaiyó 海洋	hai3yang2 海洋	1829	u	N	water, salt in, cover most(Earth)	%
offend	ba1nt	offendo	obrazic1	okoraseru 怒らせる	mao4fan4 冒犯	201	e	V	=agt cause_[harm at =pat]	%
official	hivalatalos	publicus	oficjalny	kóshiki 公式	guan1fang1 官方	1065	e	A		%
official	tisztviselo3	officialis	urze1dnik	shokuin 職員	guan1 官	2398	e	N	person, has authority	%
often	gyakran	saepe	cze1sto	yoku よく	jing1chang2 经常	921	u	D	many in time, little(distance) between	%
on	-n	super	na	no ue の上	zai4 ... shang4mian4 在 ...  上面	33	u	G	at, =agt touch =pat, <high(=agt er_ =pat)>	%
one	egy	unus	jeden	ichi 一	yi1 一	559	u	N	number, lack other  	%
open	nyi1lt	apertus	otwarty	aite iru 開いている	gong1kai1 公开	1814	e	A	move[can/1246], move through, lack shut/2668	%
open	nyit	aperio	otwierac1	akeru 開ける	kai1 开	1815	e	V	after(=pat open/1814)	%
opinion	ne1zet	opinio	zdanie	iken 意見	yi4jian4 意见	1768	u	N	thought, person has, person[confident], person lack proof	%
opponent	ellenfe1l	adversarius	przeciwnik	hantai-sha 反対者	dui4shou3 对手	631	e	N	person, oppose, <compete>, <in battle>	%contradicting defaults?
oppose	ellenez	adversor	sprzeciwic1_sie1	hantai-suru 反対する	fan3dui4 反对	630	u	V	fight	%
or	vagy	vel	albo	mata また	hai2shi4 还是	2568	p	G	_ or _ mark_ choose	%primitive
order	sorrend	ordo	porza1dek	junban 順番	shun4xu4 顺序	2739	e	N	relation, more(item) has, first part_of	%
organ	szerv	membrum	narza1d	zóki 臓器	qi4guan1 器官	2203	u	N	object, part_of body, has purpose	%
organization	szervezet	societas	organizacja	soshiki 組織	zu3zhi1 组织	2204	u	N	group, person member, has purpose, structure	%
organize	szervez	compono	organizowac1	setsuritsu-suru 設立する	zu3zhi1 组织	2949	u	V	=agt cause_ {=pat has structure}	%
other	ma1s	alius	inny	hoka 他	qi2ta1 其他	1567	p	N	different	%
out	ki	foras	wy-	soto 外	wai4 外	1316	e	D	lack in	%
outdoor	ku2lso3	externus	na_zewna1trz	soto  外	men2wai4 门外	1455	e	A	place lack {in building}	%
outer	ku2lso3	exterior	zewne1trzny	soto no 外の	wai4mian4 外面	1456	e	A	part, other(part) in	%
owner	tulajdonos	possessor	posiadacz	mochinushi 持ち主	suo3you3zhe 所有者	3610	e	N	=agt, =agt has	%
page	lap	pagina	strona	péji 頁	ye4 页	1491	e	N	artefact, surface, paper has, write on, in <book>	%
pain	ki1n	cruciatus	bo1l	itami 痛み	teng2tong4 疼痛	1318	u	N	bad, sensation, injury cause_	%
paint	fest	pingo	malowac1	penki o nuru ペンキを塗る	tu2se4 涂色	795	c	V	=agt cause_ {=pat[liquid] cover surface, =pat[picture] on surface}, liquid has colour, decorate, ins_ brush	%German streichen/bemalen vs malen
palm	tenye1r	palma	dl1on1	te no hira 手の平	shou3zhang3 手掌	3630	e	N	surface, hand has, hold	%
paper	papi1r	charta	papier	kami 紙	zhi3 纸	1940	e	N	material, from wood, flexible, sheet, has two(side)	%
parallel	pa1rhuzamos	parallelus	ro1wnolegl1y	heikó 平行	ping2xing2 平行	1931	e	A	constant(distance) between, lack contact	%
parent	szu2lo3	parens	rodzic	oya 親	fu4mu3 父母	2266	c	N	make child	%
part	re1sz	pars	cze1s1c1	bubun 部分	bu4fen 部分	1997	u	N	in, connected	%
part_of	re1sz	pars	cze1s1c1	no ichibu の一部	... de yi1bu4fen 的一部分	3368	p	G		%   %primitive but can be replaced by part, in, connected
particle	darabka	particula	cza1stka	ryúshi 粒子	li4zi3 粒子	3373	u	N	piece, separate, small	%
passenger	utas	viator/vector	pasaz1er	jókyaku 乗客	cheng2ke4 乘客	2534	u	N	person, person travel in vehicle, other(person) drive vehicle	%
past	mu1lt	praeterita	przeszl1os1c1	kako 過去	guo4qu4 过去	1732	u	N	period, part_of time, now follow	%
pause	szu2net	intermissio	przerwa	kyúkei 休憩	ting1dun4 停顿	2267	e	N	lack action, before(action), after(action)	%
pay	be1r	pretium	pensja	kyúryó 給料	gong1zi1 工资	237	e	N	money, before(=pat work), after(=pat has)	%
pay	fizet	persolvo	pl1acic1	shiharau 支払う	zhi1fu4 支付	812	e	V		%  %
people	ne1p	populus	ludzie	shomin 庶民	ren2min2 人民	1762	u	N	human(group)	%
perceive	e1rze1kel	percipio	dostrzegac1	kizuku 気づく	gan3zhi1 感知	531	u	V	know, ins_ sense, hear is_a, smell is_a, see is_a, touch is_a	%
period	ido3tartam	tempestas	okres	kikan 期間	qi1jian1 期间	1123	u	N	time, has start, has end	%
person	szeme1ly	persona	osoba	jinbutsu 人物	ren2wu4 人物	2185	c	N	man/659	%
photograph	ke1p	photographia	zdje1cie	shashin 写真	zhao4pian4 照片	1243	e	N	image, camera make	%
phrase	mondat	sententia	fraza	ku 句	duan3yu3 短语	1721	e	N	sign, at text, has word	%
physical	fizikai	corporalis	fizyczny	butsuriteki 物理的	wu4zhi2 物质	2809	u	A	body has	%
picture	ke1p	pictura	obraz	e 絵	huar4 画儿	1244	u	N	image	%
piece	darab	pars	kawal1ek	ko 個	kuai4 块	449	e	N	thing, small, part_of thing[large]	%
pierce	szu1r	figo	przekl1uwac1	sasu 刺す	ci4 刺	2256	e	V	=agt cause_[hole in =pat], ins_ sharp	%
pipe	cso3	fistula	rura	kan 管	guan3zi 管子	418	u	N	artefact, space/2327 in, cylinder, liquid[move] in	%
place	hely	locus	miejsce	basho 場所	di4fang1 地方	1026	c	N	point, gen at	%place_
place	te1r	spatium	przestrzen1	kúkan 空間	kong1jian1 空间	2326	c	N	thing in/2758	%bound_
plan	terv	propositum	plan	keikaku 計画	ji4hua4 计划	2369	e	N	after(structure)	%
plane	repu2lo3	aeroplanum	samolot	hikóki 飛行機	fei1ji1 飞机	2807	e	N	vehicle, fly, has two(wing), <has engine>	%
planet	e1gitest	planeta	planeta	wakusei 惑星	xing2xing1 行星	3599	e	N	object, in space/2509, size(er_ gen)	%
plant	no2ve1ny	planta	ros1lina	shokubutsu 植物	zhi2wu4 植物	2792	c	N	live, lack move, has leaf[many], has root, at soil	%
pleasant	kellemes	iucundus	przyjemny	kaiteki 快適	shu1fu 舒服	1288	u	A	nice	%
point	pont	punctum	punkt	ten 点	dian3 点	1969	u	N	place, lack part_of	%
polish	fe1nyez	polio	polerowac1	migaku 磨く	mo2guang1 磨光	740	u	V	=agt cause_ surface[smooth, shine], =pat has surface	%
political	politikai	civilis	polityczny	seijiteki 政治的	zheng4zhi4 de 政治的	1965	e	A	politics	%
politics	politika	consilium	polityka	seiji 政治	zheng4zhi4 政治	1964	u	N	activity, get power	%
position	hely	locus	miejsce	basho 場所	wei4zhi4 位置	1027	u	N	place/1026	%
possibility	leheto3se1g	potestas	moz1liwos1c1	kanósei 可能性	ke3neng2xing4 可能性	1524	e	N	possible	%
possible	lehetse1ges	possibilis	moz1liwy	kanó 可能	ke3neng2 可能	1525	u	A	gen allow, can/1246	%
powder	por	pulvis	puder	kona 粉	fen3 粉	1971	u	N	substance, more(particle)	%
power	ero3	vis	moc	chikara 力	li4liang4 力量	684	e	N	cause_ change	%
power	hajt	propello	nape1dzac1	ugokasu 動かす	fa1dong4 发动	979	e	V	cause_ change<move>	%
practice	u3z	exerceo	praktykowac1	renshú-suru 練習する	lian4xi2 练习	2512	u	V	do, frequent	%
pressure	nyoma1s	pressio	cis1nienie	atsuryoku 圧力	ya4li4 压力	3132	e	N	force, gas has	%
price	a1r	pretium	cena	nedan 値段　	jia4ge2 价格	86	e	N	amount, gen pay/812, at exchange	%
problem	proble1ma	problem	problem	mondai 問題	wen4ti2 问题	2785	e	N	situation, difficult, after(solve)	%
product	terme1k	fructus	produkt	seihin 製品	zhi4pin3 制品	2359	e	N	artefact, for_ sell	%
programme	mu3sor	programma	program	bangumi 番組	jie2mu4 节目	2948	u	N	plan, action, in television	%
proof	bizonyi1te1k	indicium	dowo1d	shóko 証拠	zheng4ju4 证据	298	u	N	prove	%
protect	ve1d	tueor	chronic1	mamoru 守る	bao3hu4 保护	2593	e	V	=agt cause_ {=pat[safe]}	%
prove	igazol	demonstro	udowadniac1	shómei-suru 証明する	zheng4ming2 证明	1127	e	V	after(other(people) know =pat[true]), real ins_	%
public	ko2z-	publicus	publiczny	kóteki 公的	gong1gong4 公共	1407	u	A	lack owner	%
pull	hu1z	vello	ciagna1c1	hiku 引く	la1 拉	1096	e	V	=agt cause_ {=pat at =agt}	%
purpose	ce1l	propositum	cel	mokuteki 目的	mu4di4 目的	365	u	N	gen want	%
put	tesz	pono	kl1as1c1	oku 置く	fang4 放	2374	e	V	=agt cause_ {=pat at place}, =agt move =pat, "locative" mark_ place	%
quality	mino3se1g	qualitas	jakos1c1	shitsu 質	zhi4liang4 质量	1699	u	N	gen has, characteristic, <good>	%
quantity	mennyise1g	quantitas	ilos1c1	ryó 量	liang4 量	1667	c	N	gen count, gen measure, <much>	%
queen	kira1lyno3	regina	kro1lowa	jóo 女王	nü3wang2 女王	1353	e	N	woman, monarch	%
quick	gyors	celer	szybki	hayai 速い	kuai4 快	941	e	A	act in short(time)	%
quiet	halk	submissus	cichy	shizuka 静か	ji4jing4 寂静	986	e	A	lack noise	%
radio	ra1dio1	radiophonum	radio	rajio ラジオ	shou1yin1ji1 收音机	1982	e	N	device, wave in air, communicate, device make sound/993, programme in, broadcast	%
rain	eso3	pluvia	deszcz	ame 雨	yu3 雨	698	e	N	water, from atmosphere, fall/2694, many(drop), weather	%
raise	nevel	educo	wychowywac1	sodateru 育てる	yang3 养	1788	e	V	help {=pat grow}	%
raise	emel	elevo	unies1c1	ageru 上げる	ti2gao1 提高	661	e	V	after(=pat high)	%
range	teru2let	spatium	zasie1g	han'i 範囲	fan4wei2 范围	2367	e	N	many, between gen , different	%
rank	rang	dignitas	ranga	jun'i 順位	xian2 衔	1992	u	N	position, in organization, official/2398, in <army>, in <police>, in <navy>	%in society
read	olvas	lego	czytac1	yomu 読む	du2 读	1908	e	V	=agt cause_ {meaning in mind}, =pat[written] has meaning, =agt has mind	%inspired by Randall 2.2.3.3 (44)
real	igazi	verus	prawdziwy	hontó no 本当の	zhen1shi2 真实	1126	u	A	exist	%
realize	e1szre_vesz	intelligo	zauwaz2yc1	kizuku 気づく	yi4shi2dao4 意识到	2956	e	V	after(know)	%
reason	ok	ratio	powo1d	gen'in 原因	yuan2yin1 原因	1892	e	N	cause_ thing, gen understand thing	%
receive	kap	nanciscor	dostawac1	morau もらう	shou1dao4 收到	1225	u	V	get/1223	%
recent	minapi	nuper	ostatni	saikin 最近	zui4jin4 最近	1692	e	A	time, before now, near	%
rectangular	ne1gyszo2gletu3	rectagonus	prostoka1tny	chouhoukei 長方形	ju3xing2 矩形	3133	u	A	has side[four, parallel], has four(corner)	%
red	vo2ro2s	ruber	czerwony	akai 紅い	hong2 红	2658	c	N	colour, warm, fire has colour, blood has colour, resemble anger	%ND
regular	szaba1lyos	ordinatus	zwykl1y	kisokuteki 規則的	chang2gui1 常规	2147	u	A	conform rule	%
relation	viszony	ratio	zwia1zek	kankei 関係	guan1xi4 关系	2646	u	N	one at, other at	%
religion	valla1s	religio	religia	shúkyó 宗教	zong1jiao4 宗教	2580	e	N	system, faith has system	%ND
religious	valla1sos	religiosus	religijny	shúkyó(jó)no 宗教上の	zong1jiao4 de 宗教的	2581	u	A	has religion, has faith	%ND
remember	emle1kezik	memini	pamie1tac1	oboeru 覚える	ji4zhu4 记住	667	u	V	=pat in mind, =agt has mind	%
report	hi1r	nuntius	raport	oshirase お知らせ	bao4gao4 报告	1042	e	N	information, connect recent(event), detail in	%HUN jelente1s
represent	mutat	monstro	pokazywac1	daihyó-suru 代表する	dai4biao3 代表	1741	c	V	sign has meaning, =agt[sign], =pat[meaning]	%
reproduce	szaporodik	propago	reprodukowac1	hanshoku-suru 繁殖する	fu4zhi4 复制	3138	e	U	=agt make other[similar]	%
resemble	hasonli1t	similis	przypominac1	niru 似る	xiang4 像	3397	e	V	=agt has quality, =pat has quality	%
responsible	felelo3s	cui_ratio_reddenda_est	odpowiedzialny	tantósha 担当者	fu4 ze2ren4 de 负责任的	766	c	A	has control, has authority, has blame	%
rest	pihen	quiesco	odpoczywac1	yasumu 休む	xiu1xi 休息	1959	c	U	quiet, calm, before(tired), after(has energy)	%
rice	rizs	oryza	ryz1	kome 米	mi3 米	2021	e	N	plant, food, grain, in Asia	%
ride	lovagol	equito	jez1dzic1_konno	uma ni noru 馬に乗る	qi2 骑	1555	e	U	travel, =agt on <horse>, ins_ <horse>	%
rigid	merev	rigidus	sztywny	katai 硬い	ying4xing4 硬性	3131	u	A	has shape, shape lack change	%
road	u1t	via	droga	michi 道	lu4 路	2481	e	N	way, has hard (surface), vehicle on	%
roof	teto3	tectum	dach	yane 屋根	wu1ding3 屋顶	2376	u	N	top, part_of house	%
room	szoba	conclave	poko1j	heya 部屋	wu1zi 屋子	2235	c	N	place/1026, has more(wall), part_of building, has floor, has top<ceiling>	%
root	gyo2ke1r	radix	korzen1	ne 根	gen1 根	936	u	N	under ground, part_of plant, support, at base/146	%
rope	ko2te1l	restis	lina	nawa 縄	sheng2zi 绳子	1396	u	N	artefact, long, flexible	%
round	kerek	rotundus	okra1gl1y	marui 丸い	yuan2 圆	1295	c	A	circular/1294	%
royal	kira1lyi	regius	kro1lewski	óshitsu王室	huang2jia1 皇家	1352	e	A	monarch	%
rule	szaba1ly	regula	regul1a	kisoku規則	gui1ze2 规则	2530	u	N	govern	%
run	fut	curro	biegac1	hashiru 走る	pao3 跑	882	e	U	move, fast/940, ins_ foot	%
sad	szomoru1	miserabilis	smutny	kanashii 悲しい	bei1shang1 悲伤	2248	e	A	emotion, bad	%
safe	biztos	tutus	bezpieczny	safe 安全	an1quan2 安全	303	u	A	lack danger	%
salt	so1	sal	so1l	shio 塩	yan2 盐	2108	e	N	mineral, white, has taste, powder	%
same	azonos	idem	taki_sam/ten_sam	onaji 同じ	xiang1tong2 相同	192	e	A	lack different	%
say	mond	dico	mo1wic1	iu 言う	shuo1 说	1719	e	V	communicate, ins_ sound/993, person hear sound/993, "dative" mark_ person	%
scale	ska1la	modulus	skala	kibo 規模	gui1mo2 规模	2107	c	N	range, level at, measure ins_, regular	%
screen	ke1pernyo2	album	ekran	gamen 画面	ping2mu4 屏幕	2977	e	N	artefact, <part_of electric(machine)>, picture on	%
season	e1vad	tempus	sezon	jiki 時期	shi2qi1 时期	546	c	N	period, time, part_of year, activity in	%
season	e1vszak	tempus_anni	pora_roku	kisetsu 季節	ji4jie2 季节	548	c	N	period[<four>], part_of year, spring/2318 is_a, summer is_a, fall/1883 is_a, winter is_a, has weather	%
seat	u2le1s	sedes	siedzenie	seki 席	zuo4wei4 座位	2494	u	N	sit in	%
second	ma1sodik	alter	drugi	nibanme 二番目	di4er4 第二	1569	u	A	-th/5[two], follow first	%
see	la1t	video	widziec1	mieru 見える	jian4 见	1476	c	V	perceive, ins_ eye	%
seed	mag	semen	nasienie	tane 種	zi3 籽	1577	u	N	organ, part_of plant, make other(plant)	%
self	o2nmaga	ipse	sam	jibun 自分	zi4- 自; zi4ji3 自己	1851	e	N	=pat[=agt], =agt[=pat]	%
sell	elad	vendo	sprzedac1	uru 売る	mai4 卖	595	c	V	=agt cause_ {buyer has =pat}, buyer cause_ {=agt has money_}, dative_ mark_ buyer	%
seller	elado1	venditor	sprzedaja1cy	urite 売り手	mai4fang1 卖方	3629	u	N	=agt sell, -er/3627	%
sensation	e1rzet	affectus	uczucie	kankaku 感覚	gan3jue2 感觉	534	u	N	sense ins_, <touch>	%
sense	e1rze1k	sensus	rozum	kankaku 感覚	gan3jue2 感觉	2458	e	N	animal has, hear is_a, see is_a, smell is_a, touch is_a, taste is_a	%HUN e1rze1k content: bodily position, temperature, pain, balance
